idx,제목,기관명,근무지,고용형태,등록일,마감일,D-day,남은일수,마감임박,상태,상세URL,최초수집일,최초수집일
303995,[본사] 공단 장애인 체험형 청년인턴(재택 사무보조) 통합채용 공고,한국보훈복지의료공단,서울 외 4,청년인턴(체험형),2026-08-19,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303995,2026-08-19,2026-08-19
303954,"2026년도 일반직 경력간호사(분만실, NICU) 모집공고",국민건강보험공단 일산병원,경기,정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303954,2026-08-19,2026-08-19
303990,한전KDN(주) 대구본부 배전자동화 공사 분야 작업원 모집공고,한전KDN,대구 외 1,비정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303990,2026-08-19,2026-08-19
303988,한국폴리텍대학 창원캠퍼스 2026년 하반기 업무지원직(식당 단시간근로자) 3차 채용 공고,학교법인한국폴리텍,경남,비정규직,2026-08-19,2026-08-23,3,4,,진행중,https://job.alio.go.kr/recruitview.do?idx=303988,2026-08-19,2026-08-19
303960,"우체국금융개발원 2026년 7차(장애인 제한경쟁(헬스키퍼, 청년인턴))공개채용 공고",(재)우체국금융개발원,서울 외 1,비정규직 외 1,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303960,2026-08-19,2026-08-19
303961,2026년 하반기 건강보험심사평가원 정규직 채용 공고,건강보험심사평가원,강원,정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303961,2026-08-19,2026-08-19
304014,2026년 기간제근로자 및 체험형청년인턴 채용 공고,제주국제자유도시개발센터,제주,비정규직 외 1,2026-08-19,2026-09-03,14,15,,진행중,https://job.alio.go.kr/recruitview.do?idx=304014,2026-08-19,2026-08-19
304016,한전KPS(주) 한울1사업처 한울1호기 제27차 계획예방정비공사 단기노무원 채용 공고(1차),한전KPS(주),경북,비정규직,2026-08-19,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=304016,2026-08-19,2026-08-19
304041,2026년도 한국환경공단 체험형 인턴(장애부문) 추가채용 공고,한국환경공단,서울 외 4,청년인턴(체험형),2026-08-19,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=304041,2026-08-19,2026-08-19
304040,[원주보훈요양원] 2026년 제5차 요양보호직 공개채용,한국보훈복지의료공단,강원,정규직,2026-08-19,2026-09-03,14,15,,진행중,https://job.alio.go.kr/recruitview.do?idx=304040,2026-08-19,2026-08-19
304039,"2026년 하반기 기간제계약직(운전,비서) 채용 공고",울산항만공사,울산,비정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=304039,2026-08-19,2026-08-19
304038,2026년 하반기 무기계약직(경력/시설관리) 채용 공고,울산항만공사,울산,무기계약직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=304038,2026-08-19,2026-08-19
303919,"2026년 8월 업무지원직 모집공고(보건직, 기능직)",국민건강보험공단 일산병원,경기,무기계약직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303919,2026-08-19,2026-08-19
304036,2026년 한국폴리텍대학 영주캠퍼스 업무직(대학운영직 조리원) 채용 공고,학교법인한국폴리텍,경북,무기계약직,2026-08-19,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=304036,2026-08-19,2026-08-19
304035,2026년도 서울대학교병원 하반기 신규 직원 채용 공고 (장애인 특별우대),서울대학교병원,서울,정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=304035,2026-08-19,2026-08-19
304033,[제2026-14호] 육아정책연구소 정규직 부연구위원 채용,육아정책연구소,서울,정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=304033,2026-08-19,2026-08-19
303963,한전KDN(주) 인천사업처 배전자동화분야 작업원 모집공고,한전KDN,인천 외 1,비정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303963,2026-08-19,2026-08-19
303898,"2026년 8월 기간제근로자 모집공고(보건직, 기능직)",국민건강보험공단 일산병원,경기,비정규직,2026-08-19,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303898,2026-08-19,2026-08-19
304027,계약직 전문의 채용 재공고(소아청소년과),국립중앙의료원,서울,비정규직,2026-08-19,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=304027,2026-08-19,2026-08-19
304026,"의사직 전문의 채용 재공고(내분비대사내과, 중환자전담전문의)",국립중앙의료원,서울,정규직,2026-08-19,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=304026,2026-08-19,2026-08-19
304024,2026년 KOICA 글로벌연수(동남아시아 수출입 식품 안전관리 역량강화 사업) 일용직직원 채용,한국식품안전관리인증원,경기 외 1,비정규직,2026-08-19,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=304024,2026-08-19,2026-08-19
304021,[소백산생태탐방원] 2026년 소백산생태탐방원 기간제(한시인력_탐방운전) 직원 채용 공고,국립공원공단,경북,비정규직,2026-08-19,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=304021,2026-08-19,2026-08-19
304020,[계룡산] 2026년 계룡산국립공원사무소 국립공원지킴이(한시인력) 채용 재공고,국립공원공단,대전 외 1,비정규직,2026-08-19,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=304020,2026-08-19,2026-08-19
304019,"한전KPS(주)한빛1사업처 한빛1,2호기 OH공사 단기노무원 통합채용공고",한전KPS(주),전남광주,비정규직,2026-08-19,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=304019,2026-08-19,2026-08-19
304018,[덕유산] 덕유산국립공원 가을성수기 한시인력(환경관리) 직원 채용 공고,국립공원공단,전북,비정규직,2026-08-19,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=304018,2026-08-19,2026-08-19
304017,한전KPS(주)서인천사업처 2026년 신인천 4CC 계획예방정비공사 안전관리보조 단기노무원 채용공고,한전KPS(주),인천,비정규직,2026-08-19,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=304017,2026-08-19,2026-08-19
303968,2026년도 하반기 직무전문가(사내변호사) 모집공고,한국서부발전(주),충남,비정규직,2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303968,2026-08-19,2026-08-19
303969,2026년 제2차 장애인 체험형 인턴 채용공고 [인천본부],한국전력공사,인천 외 1,청년인턴(체험형),2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303969,2026-08-19,2026-08-19
303966,[태안] 2026년 태안해안 기간제[한시인력_환경관리(해양)] 직원 채용,국립공원공단,충남,비정규직,2026-08-18,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303966,2026-08-19,2026-08-19
303965,[울산남부지사] 청년(체험형)인턴 채용 공고,근로복지공단,울산,청년인턴(체험형),2026-08-18,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303965,2026-08-19,2026-08-19
303964,(통영적십자병원) 정규직 간호사 채용 공고,대한적십자사,경남,정규직,2026-08-18,2026-09-03,14,15,,진행중,https://job.alio.go.kr/recruitview.do?idx=303964,2026-08-19,2026-08-19
303971,한국폴리텍대학 바이오캠퍼스 업무직(대학운영직_조리원) 채용공고,학교법인한국폴리텍,충남,무기계약직,2026-08-18,2026-08-27,7,8,,진행중,https://job.alio.go.kr/recruitview.do?idx=303971,2026-08-19,2026-08-19
303962,2026년 제5차 국립해양박물관 직원(체험형인턴(학예)) 채용 공고,국립해양박물관,부산,청년인턴(체험형),2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303962,2026-08-19,2026-08-19
303959,기간제근로자(대체인력) 채용공고 [강원본부 강릉지사],한국전력공사,강원,비정규직,2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303959,2026-08-19,2026-08-19
303957,2026년 계약직연구원 공개채용(인공지능 서비스 이용자보호 정책 연구),정보통신정책연구원,충북,비정규직,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303957,2026-08-19,2026-08-19
303844,한전KPS(주)부산경남전력지사 기장지점 단기노무원(상주감시) 모집,한전KPS(주),부산,비정규직,2026-08-18,2026-09-08,19,20,,진행중,https://job.alio.go.kr/recruitview.do?idx=303844,2026-08-19,2026-08-19
303856,(공고취소)한전KPS(주)안양사업소 경상정비공사 단기노무원 모집(정비보조),한전KPS(주),경기,비정규직,2026-08-18,2026-08-20,,1,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303856,2026-08-19,2026-08-19
303894,한국폴리텍대학 동부산캠퍼스 체험형 청년인턴(장애) 채용(2차) 공고,학교법인한국폴리텍,부산,청년인턴(체험형),2026-08-18,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303894,2026-08-19,2026-08-19
303911,[직원채용] 동남권원자력의학원 박사후 연수연구원(첨단방사선종양연구팀) 공개 채용,동남권원자력의학원,부산,비정규직,2026-08-18,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303911,2026-08-19,2026-08-19
303973,한전KPS(주)제주사업소 경상정비공사 단기노무원 채용공고,한전KPS(주),제주,비정규직,2026-08-18,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303973,2026-08-19,2026-08-19
303974,국립박물관문화재단 2026년 제3차 직원 채용 공고,국립박물관문화재단,서울 외 1,무기계약직 외 2,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303974,2026-08-19,2026-08-19
303992,한국폴리텍대학 광주캠퍼스 청년인턴(장애) 채용 공고,학교법인한국폴리텍,전남광주,청년인턴(체험형),2026-08-18,2026-08-26,6,7,,진행중,https://job.alio.go.kr/recruitview.do?idx=303992,2026-08-19,2026-08-19
303989,건축공간연구원 무기직(행정원) 모집,건축공간연구원,세종,무기계약직,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303989,2026-08-19,2026-08-19
303987,건축공간연구원 정규직(부연구위원) 모집,건축공간연구원,세종,정규직,2026-08-18,2026-09-09,20,21,,진행중,https://job.alio.go.kr/recruitview.do?idx=303987,2026-08-19,2026-08-19
303986,2026년 하반기 신규직원 채용 공고,한국식품안전관리인증원,서울 외 8,청년인턴(채용형) 외 1,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303986,2026-08-19,2026-08-19
303985,한국폴리텍대학 부산캠퍼스 2026년 청년인턴(장애) 3차 채용,학교법인한국폴리텍,부산,청년인턴(체험형),2026-08-18,2026-08-26,6,7,,진행중,https://job.alio.go.kr/recruitview.do?idx=303985,2026-08-19,2026-08-19
303984,[소백산북부] 2026년 가을철 한시인력(탐방로 보수전담팀) 채용 공고,국립공원공단,충북,비정규직,2026-08-18,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303984,2026-08-19,2026-08-19
303983,"[대전] 의생명연구원 연구교수(B)_의학,약학,통계학 공개채용 모집공고",충남대학교병원,대전,비정규직,2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303983,2026-08-19,2026-08-19
303982,[안전보건공단 서울광역본부] 강원동부지사 업무직(환경미화원) 채용공고,한국산업안전보건공단,강원,무기계약직,2026-08-18,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303982,2026-08-19,2026-08-19
303981,한국여성정책연구원 2026년 제4차 직원 블라인드 채용 공고,한국여성정책연구원,서울,무기계약직 외 3,2026-08-18,2026-09-01,12,13,,진행중,https://job.alio.go.kr/recruitview.do?idx=303981,2026-08-19,2026-08-19
303980,[강원지역본부] 기간제(사무원) 채용 공고,근로복지공단,강원,비정규직,2026-08-18,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303980,2026-08-19,2026-08-19
303977,제2026-4회 한국원자력의학원 정기직원채용,한국원자력의학원,서울,무기계약직 외 1,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303977,2026-08-19,2026-08-19
303976,한국수출입은행 2026년 하반기 경력직원 채용,한국수출입은행,서울,비정규직,2026-08-18,2026-09-02,13,14,,진행중,https://job.alio.go.kr/recruitview.do?idx=303976,2026-08-19,2026-08-19
304031,2026학년도 전임교원 초빙공고,한국전력국제원자력대학원대학교,울산,정규직,2026-08-18,2026-09-21,32,33,,진행중,https://job.alio.go.kr/recruitview.do?idx=304031,2026-08-19,2026-08-19
303975,"우체국물류지원단 경인지사 안양,부평물류사업소 기간제(우편물구분) 채용 재공고",(재)우체국물류지원단,인천 외 1,비정규직,2026-08-18,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303975,2026-08-19,2026-08-19
303887,한전KDN(주) 「AI기반 무정전활선작업 무인화 로봇플랫폼 개발 및 실증」연구과제 프로젝트계약근로자 채용공고,한전KDN,대전 외 1,비정규직,2026-08-17,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303887,2026-08-19,2026-08-19
303883,한전KDN(주) VPP 연구과제 프로젝트계약근로자 채용공고,한전KDN,전남광주,비정규직,2026-08-17,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303883,2026-08-19,2026-08-19
303930,한전KPS(주) 서울경기전력지사 수원지점 단기노무원(수목관리사) 모집,한전KPS(주),경기,비정규직,2026-08-15,2026-08-19,,0,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303930,2026-08-19,2026-08-19
303903,한전KPS(주) 일산사업소 '26년도 3GT OH 2차 단기노무원 채용,한전KPS(주),경기,비정규직,2026-08-15,2026-08-18,,-1,,마감,https://job.alio.go.kr/recruitview.do?idx=303903,2026-08-19,2026-08-19
303917,한국폴리텍대학 창원캠퍼스 2026년 하반기 업무지원직(식당 단시간근로자) 2차 채용 공고,학교법인한국폴리텍,경남,비정규직,2026-08-15,2026-08-23,3,4,,진행중,https://job.alio.go.kr/recruitview.do?idx=303917,2026-08-19,2026-08-19
303812,2026년도 하반기 한국농업기술진흥원 정규직 공개경쟁채용 제한경쟁채용 및 사회형평채용 공고,한국농업기술진흥원,경북 외 1,무기계약직 외 1,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303812,2026-08-19,2026-08-19
303798,2026년도 3분기 실무직 및 기간제근로자 채용공고,한국도로교통공단,서울 외 7,무기계약직 외 1,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303798,2026-08-19,2026-08-19
303916,[동해병원] 기간제 의사(응급실전담의) 채용 공고,근로복지공단,강원,비정규직,2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303916,2026-08-19,2026-08-19
303915,[동해병원] 기간제 의사(진단검사의학과 또는 병리과) 채용 공고,근로복지공단,강원,비정규직,2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303915,2026-08-19,2026-08-19
303914,[동해병원] 기간제 의사(재활의학과 전문의) 채용 공고,근로복지공단,강원,비정규직,2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303914,2026-08-19,2026-08-19
303913,[치악산] 치악산국립공원사무소 기간제(한시인력-탐방로보수) 직원 채용,국립공원공단,강원,비정규직,2026-08-14,2026-08-18,,-1,,마감,https://job.alio.go.kr/recruitview.do?idx=303913,2026-08-19,2026-08-19
303912,"(재)우체국시설관리단 현장직원 2026년도 10차 통합 채용 공고(기술, 경비, 미화)",(재)우체국시설관리단,서울 외 5,무기계약직 외 1,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303912,2026-08-19,2026-08-19
303767,한국무역보험공사 2026년 하반기 일반직 신입사원 채용공고,한국무역보험공사,서울 외 13,정규직,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303767,2026-08-19,2026-08-19
303910,제주대학교병원 단시간 계약직(장애인_병원안내 등) 모집공고,제주대학교병원,제주,비정규직,2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303910,2026-08-19,2026-08-19
303909,제주대학교병원 의료기술직(물리치료사) 모집공고,제주대학교병원,제주,정규직,2026-08-14,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303909,2026-08-19,2026-08-19
303766,분당서울대학교병원 신입(업무지원직) 직원 채용 공고,분당서울대학교병원,경기,정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303766,2026-08-19,2026-08-19
303908,제주대학교병원 휴직대체 계약직(임상병리사) 모집공고,제주대학교병원,제주,비정규직,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303908,2026-08-19,2026-08-19
303907,[경인지역관내] 공무직 직원 채용 공고,근로복지공단,인천 외 1,무기계약직,2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303907,2026-08-19,2026-08-19
303906,[경인지역본부] 청년(체험형)인턴 채용 공고,근로복지공단,인천,청년인턴(체험형),2026-08-14,2026-08-21,1,2,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303906,2026-08-19,2026-08-19
303905,[제2026-89호] 한국장애인개발원 2026년도 경영지원부 사회형평적(고졸) 청년인턴 채용 공고,한국장애인개발원,서울,청년인턴(체험형),2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303905,2026-08-19,2026-08-19
303904,[순천병원] 별정직 의사(진단검사의학과) 채용 공고,근로복지공단,전남광주,정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303904,2026-08-19,2026-08-19
303763,분당서울대학교병원 신입(업무지원직_미화) 직원 채용 공고,분당서울대학교병원,경기,정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303763,2026-08-19,2026-08-19
303902,[월악산] 2026년 월악산국립공원사무소 한시인력(탐방예약제관리) 직원 채용,국립공원공단,충북,비정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303902,2026-08-19,2026-08-19
303901,서울올림픽기념국민체육진흥공단 지원직(스포츠단 숙소관리) 채용 공고(재공고),서울올림픽기념국민체육진흥공단,경기,무기계약직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303901,2026-08-19,2026-08-19
303799,한전KPS(주) 청주시운전부 정비보조 단기노무원 2차 채용,한전KPS(주),충북,비정규직,2026-08-14,2026-08-18,,-1,,마감,https://job.alio.go.kr/recruitview.do?idx=303799,2026-08-19,2026-08-19
303897,[중앙보훈병원] 체험형 청년인턴(든든동행파트너) 채용 공고,한국보훈복지의료공단,서울,청년인턴(체험형),2026-08-14,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303897,2026-08-19,2026-08-19
303896,2026년 제3차 장애인 체험형인턴 채용 [경남본부],한국전력공사,경남,청년인턴(체험형),2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303896,2026-08-19,2026-08-19
303895,한국환경공단(본사) K-eco연구원 ESG기업지원부 기간제근로자(촉탁 라급) 채용공고,한국환경공단,인천,비정규직,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303895,2026-08-19,2026-08-19
303810,한전KPS(주)강원충북전력지사 단기노무원(신청주지점 수목재적조사) 채용 공고(17차),한전KPS(주),충북,비정규직,2026-08-14,2026-08-19,,0,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=303810,2026-08-19,2026-08-19
303768,한국무역보험공사 2026년 사무직(고졸) 신입사원 채용공고,한국무역보험공사,서울 외 13,정규직,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303768,2026-08-19,2026-08-19
303845,"[KDI국제정책대학원] 2026년 제8차 인턴직원 채용(교육행정, 경영기획)",KDI국제정책대학원,세종,비정규직,2026-08-14,2026-08-30,10,11,,진행중,https://job.alio.go.kr/recruitview.do?idx=303845,2026-08-19,2026-08-19
303761,분당서울대학교병원 신입(업무지원직 장애인) 직원 채용 공고,분당서울대학교병원,경기,정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303761,2026-08-19,2026-08-19
303879,한국폴리텍대학 전남캠퍼스 업무직(조리원) 채용(5차) 공고,학교법인한국폴리텍,전남광주,무기계약직,2026-08-14,2026-08-26,6,7,,진행중,https://job.alio.go.kr/recruitview.do?idx=303879,2026-08-19,2026-08-19
303893,한전KPS(주)광주전남전력지사 광주지점 단기노무원 채용,한전KPS(주),전남광주,비정규직,2026-08-14,2026-08-18,,-1,,마감,https://job.alio.go.kr/recruitview.do?idx=303893,2026-08-19,2026-08-19
303921,한전KPS(주)울산사업소 기계부 단기노무원 모집(1차),한전KPS(주),울산,비정규직,2026-08-14,2026-08-18,,-1,,마감,https://job.alio.go.kr/recruitview.do?idx=303921,2026-08-19,2026-08-19
303953,대전세종충남혈액원 비정규직 육아휴직 대체 임상병리사 채용 공고(9개월),대한적십자사,대전,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303953,2026-08-19,2026-08-19
303949,제주대학교병원 사업인력 계약직(권역난임임산부심리상담센터_임상심리사 또는 사회복지사 또는 간호사) 모집공고,제주대학교병원,제주,비정규직,2026-08-14,2026-08-25,5,6,,진행중,https://job.alio.go.kr/recruitview.do?idx=303949,2026-08-19,2026-08-19
303951,대전세종충남혈액원 비정규직 육아휴직 대체 사무보조원 채용 공고,대한적십자사,대전,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303951,2026-08-19,2026-08-19
303946,[전북혈액원] 비정규직 육아휴직대체(간호사) 채용 공고,대한적십자사,전북,비정규직,2026-08-14,2026-08-30,10,11,,진행중,https://job.alio.go.kr/recruitview.do?idx=303946,2026-08-19,2026-08-19
303945,2026년도 제2차 수시 채용 공고,국토안전관리원,충북 외 2,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303945,2026-08-19,2026-08-19
303943,2026년 제4차 기간제 근로자(휴직대체인력) 채용(일반행정지원),한국농수산식품유통공사,대구 외 2,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303943,2026-08-19,2026-08-19
303942,[세종] 2026년 8월 업무지원직 직원 채용공고,충남대학교병원,세종,정규직,2026-08-14,2026-08-28,8,9,,진행중,https://job.alio.go.kr/recruitview.do?idx=303942,2026-08-19,2026-08-19
303941,[남부혈액검사센터] 2026년 비정규직 기간제(장애인) 채용 공고,대한적십자사,부산,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303941,2026-08-19,2026-08-19
303940,계약직 주말약사(약제부) 재공고,국립중앙의료원,서울,비정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303940,2026-08-19,2026-08-19
303939,계약직 간호사(감염내과-상담실) 재공고,국립중앙의료원,서울,비정규직,2026-08-14,2026-08-24,4,5,,진행중,https://job.alio.go.kr/recruitview.do?idx=303939,2026-08-19,2026-08-19
304029,(수정) 한전KPS(주)부산경남전력지사 통영지점 단기노무원(상주감시) 모집,한전KPS(주),경남,비정규직,2026-08-14,2026-08-19,,0,Y,진행중,https://job.alio.go.kr/recruitview.do?idx=304029,2026-08-19,2026-08-19
303938,[노사발전재단] 「2026년 대한민국 일·생활 균형 우수기업 선정」 사업 채용 공고,노사발전재단,서울,비정규직,2026-08-14,2026-08-31,11,12,,진행중,https://job.alio.go.kr/recruitview.do?idx=303938,2026-08-19,2026-08-19
